filename	unknown	tokens	lines
wiki-1417	10214	89594	90080
wiki-1418	10583	91310	91736
wiki-1419	9814	90255	90717
wiki-142	10584	88913	89051
wiki-1420	10576	90569	91011
wiki-1421	9562	91754	92156
wiki-1422	8933	88463	88823
wiki-1423	9830	88118	88520
wiki-1424	9958	90594	91026
wiki-1425	10769	92545	92999
wiki-1426	9976	86274	86704
wiki-1427	10222	90493	90927
wiki-1428	10438	91953	92431
wiki-1429	10142	93004	93400
wiki-143	8645	87353	87519
wiki-1430	9433	90565	90845
wiki-1431	10329	89926	90372
wiki-1432	10512	91938	92420
wiki-1433	10709	89639	90037
wiki-1434	9975	91439	91883
wiki-1435	10070	90185	90705
wiki-1436	11174	93425	93817
wiki-1437	10797	92733	93179
wiki-1438	10344	93485	93937
wiki-1439	10418	92813	93157
wiki-144	7791	77711	77853
wiki-1440	10214	89715	90199
wiki-1441	9899	90270	90700
wiki-1442	10503	91346	91832
wiki-1443	10646	90083	90691
wiki-1444	11254	91944	92426
wiki-1445	11171	93548	94034
wiki-1446	10447	91854	92276
wiki-1447	9757	91800	92294
wiki-1448	10234	91135	91623
wiki-1449	10074	92122	92630
wiki-145	8212	83478	83600
wiki-1450	10448	91470	91890
wiki-1451	9505	89530	89970
wiki-1452	10439	91176	91704
wiki-1453	9094	83411	83871
wiki-1454	10211	87786	88274
wiki-1455	9559	90405	90797
wiki-1456	10131	91056	91482
wiki-1457	9866	89430	89886
wiki-1458	10170	93748	94148
wiki-1459	11877	92031	92561
wiki-146	8810	90622	90816
wiki-1460	9791	89373	89909
wiki-1461	9991	90021	90485
wiki-1462	10589	91557	91977
wiki-1463	10614	90930	91408
wiki-1464	9973	90146	90612
wiki-1465	10319	91595	92093
wiki-1466	9417	91045	91401
wiki-1467	9474	91509	91859
wiki-1468	9734	90881	91351
wiki-1469	9991	90438	90808
wiki-147	10412	90829	91071
wiki-1470	10034	90646	91086
wiki-1471	10155	91457	91923
wiki-1472	10427	87983	88447
wiki-1473	10591	87359	87631
wiki-1474	9957	90175	90609
wiki-1475	9826	90115	90571
wiki-1476	10589	88452	89122
wiki-1477	10774	90582	91056
wiki-1478	10036	89847	90347
wiki-1479	10074	90374	90818
wiki-148	9098	86660	86836
wiki-1480	11181	93801	94277
wiki-1481	11332	92513	92827
wiki-1482	10211	91099	91419
wiki-1483	10459	91099	91611
wiki-1484	10860	91663	92089
wiki-1485	10430	91956	92450
wiki-1486	10429	90255	90721
wiki-1487	10725	90825	91387
wiki-1488	10274	90311	90793
wiki-1489	10300	92454	92858
wiki-149	9761	92179	92287
wiki-1490	10397	91115	91593
wiki-1491	10488	91841	92283
wiki-1492	9717	84686	86136
wiki-1493	10268	88336	89060
wiki-1494	10839	92342	92852
wiki-1495	10597	91026	91526
wiki-1496	9570	88681	89101
wiki-1497	9914	90795	91179
wiki-1498	10728	91299	91695
wiki-1499	11039	92721	93137
wiki-15	7785	91807	91859
wiki-150	9303	89505	89653
wiki-1500	11636	92484	92972
wiki-1501	10785	92484	92974
wiki-1502	10215	90800	91306
wiki-1503	10093	91618	92112
wiki-1504	10106	90133	90525
wiki-1505	9956	89706	90156
wiki-1506	10446	91585	92065
wiki-1507	10679	90819	91267
wiki-1508	10368	89878	90400
wiki-1509	9979	91075	91461
wiki-151	10710	92712	92878
wiki-1510	10057	90645	91159
wiki-1511	10304	90658	91108
wiki-1512	10578	90422	90974
wiki-1513	10524	91090	91482
wiki-1514	10731	91228	91680
wiki-1515	10312	89987	90383
wiki-1516	10052	90553	91013
wiki-1517	9795	90993	91417
wiki-1518	10298	91889	92321
wiki-1519	10534	90656	91168
wiki-152	10984	92647	92815
wiki-1520	10497	89947	90457
wiki-1521	10331	90854	91314
wiki-1522	10118	90958	91422
wiki-1523	10105	90707	91187
wiki-1524	10248	90532	90904
